Test ID,Test Date,Tester Name,Type of Question,Build / Version,Sprint / Cycle,Channel Tested,Language Tested,Question ID,Query Text (Original),Question Category,Time Question Asked (HH:MM:SS),Time Answer Received (HH:MM:SS),Respo nse Time (mins) [Auto],SLA Status,Question in Review Model?,Question Correctly Framed?,Original Language,Translated Language,Translation Quality,Translation Error Type,Tagging,Allocated to Reviewer?,Author's Name,Author Assignment Time,Author Completion Time,Author TAT (mins) [Auto],Reviewer1 Name,Reviewer1 Assignment Time,Reviewer1 Completion Time,Review1 TAT (mins) [Auto],Reviewer2 Name,Reviewer2 Assignment Time,Reviewer2 Completion Time,Review2 TAT (mins) [Auto],Reviewer3 Name,Reviewer3 Assignment Time,Reviewer3 Completion Time,Review3 TAT (mins) [Auto],Reviewer4 Name,Reviewer4 Assignment Time,Reviewer4 Completion Time,Review4 TAT (mins) [Auto],Reviewer5 Name,Reviewer5 Assignment Time,Reviewer5 Completion Time,Review5 TAT (mins) [Auto],Moderator's Name,Moderator Assignment Time,ModeratorCompletion Time,Moderator TAT (mins) [Auto],Follow-up Q in Review Model?,Answer Scientifically Correct?,Expert Name Displayed?,Correct Expert Name?,Source Links Provided?,120-min Msg Shown to User?,Notification Received?,Notification on Same Thread?,Notification Linked Correct Q-ID?,Voice Input Working?,Voice Output Working?,Voice Input Quality,Voice Output Quality,Voice Issue Description,Weather Q Answered Correctly?,Mandi Price Q Correct?,Scheme Q Correct?,Question Saved in DB?,Answer Saved in DB?,Q-ID Consistent Across Systems?,WhatsApp vs Web Answer Match?,Overall Test Status,Defect Severity,"Defect ID / Bug Ref
Zoho Desk Ticketing",Reviewer Remarks,Tester Remarks,Status,,,
TL-1015,2026-06-16,Lavanya Mathialagan,Unique,0.1,,Web App,English,1f169428-d7ff-6d09-8005-45eb7e0a50a2,Is it permissible to mix insecticides with fertilizers or nutrient solutions during application in Black Gram cultivation?,Plant protection,10:46:00,"
17/6/2026, 6:58:32 pm",#VALUE!,SLA Breached,Yes,Well Framed,English,English,Correct,NIL,NA,Yes,Soumya R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Provided & Relevant,Yes,Not Received,NA,NA,Yes,Yes,Clear,Clear,NIL,NA,NA,NA,Saved,Saved,Successfully Identified as Duplicate,Yes,Pass,No Defect,,NIL,2 hours discalimer is seen. received answer after 32hours,,,,
TL-1016,2026-06-16,Lavanya Mathialagan,Unique,0.1,,WhatsApp,English,1f16ab55-f6b1-6157-800c-197b94dec9ee,Is it permissible to mix insecticides with fertilizers or nutrient solutions during application in Black Gram cultivation?,Plant protection,"Jun 18, 2026, 7:01 AM","18/6/2026, 7:01:04 am",#VALUE!,Within SLA,Yes,Well Framed,English,English,Correct,NIL,Correctly Tagged as Duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Provided & Relevant,Successfully Identified as Duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Saved,Saved,Successfully Identified as Duplicate,Yes,Pass,No Defect,,NIL,,Expected Output,,,
TL-1017,2026-06-16,Lavanya Mathialagan,Unique,0.1,,Web App,English,"1f16944a-d4c1-6bbe-8005
-8ea83de0fa9e","
Is it advisable to apply a mixture of insecticide and herbicide simultaneously via foliar spray in Black Gram, and what are the technical precautions required?

",Plant protection,11:02:00,"20/6/2026, 6:29:53 am",#VALUE!,SLA Breached,Yes,Well Framed,English,English,Correct, NIL,NA,Yes,Soumya R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Provided & Relevant,Yes,Not Received,NA,NA,Yes,Yes,Clear,Clear,NIL,NA,NA,NA,Saved,Saved,Successfully Identified as Duplicate,,Pass,No Defect,,NIL,2 hours discalimer is seen. Answer after 3 days ,Expected Output,,,
TL-1019,2026-06-16,Lavanya Mathialagan,Unique,0.1,,Web App,English,1f169465-ba4c-63cd-8005-35f71f1bbe2d,"What are the adverse effects of excess irrigation on Black Gram crops, and how can waterlogging issues be managed?",Irrigation and Water Management,11:14:00,"17/6/2026, 2:58:08 pm",#VALUE!,SLA Breached,Yes,Well Framed,English,English,Correct,NIL,NA,Yes,Yash Praveen Khot,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Provided & Relevant,Yes,Not Received,NA,NA,Yes,Yes,Clear,Clear,Takes longer time to get loaded,NA,NA,NA,Saved,Saved,Successfully Identified as Duplicate,Yes,Pass,No Defect,,NIL,2 hours discalimer is seen. Answer received after 27 hours,Expected Output,,,
TL-1020,2026-06-16,Lavanya Mathialagan,Unique,0.1,,WhatsApp,English,1f16ab6b-7857-6c3c-8013-860dd5c7c2d1,"What are the adverse effects of excess irrigation on Black Gram crops, and how can waterlogging issues be managed?",Irrigation and Water Management,"Jun 18, 2026, 7:10 AM","Jun 19, 2026, 7:37 AM",1467.0,SLA Breached,Yes,Well Framed,English,English,Correct,NIL,Duplicate but not tagged,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Provided & Relevant,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate,Duplicate,Successfully Identified as Duplicate,Yes,Pass,No Defect,,NIL,"Author name is different in chatbot and whatsapp, eventhough in reviewer system for whatsapp source question the author name is wrong, it took the nam eof a person who closed the question",Expected Output,,,
TL-1022,2026-06-16,Lavanya Mathialagan,Unique,0.1,,WhatsApp,English,1f16a2dd-e747-6161-8026-a9b0c70fd903,What is the recommended seed rate and method for sowing Black Gram to ensure optimal plant population and yield?,Cultural and Crop Management Practices,"Jun 17, 2026, 2:51 PM","19/6/2026, 7:43:15 am",#VALUE!,SLA Breached,Yes,Well Framed,English,English,Correct,NIL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Provided & Relevant,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate,Duplicate,Successfully Identified as Duplicate,Yes,Pass,No Defect,,NIL,For the same question answer is given in chat bot but in whatsapp it gives 2 hours disclaimer. ,Expected Output,,,
TL-1023,2026-06-16,Lavanya Mathialagan,Unique,0.1,,Web App,English,1f16a2e1-5034-6b0c-8005-108e8c99d343,What are the effective management strategies for controlling Blossom Midge in Black Gram in Andhra Pradesh?,Plant protection,12:16:00,"19/6/2026, 6:33:01 am",#VALUE!,SLA Breached,Yes,Well Framed,English,English,Correct,NIL,NA,Yes,Ravindra Prasad,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Provided & Relevant,Yes,Not Received,NA,NA,Yes,Yes,Clear,Clear,NIL,NA,NA,NA,Saved,Saved,Successfully Identified as Duplicate,Yes,Pass,No Defect,,NIL,".2 hours disclaimer is seen. Reviewer system shows ""chatbot processing error"" was not able to view question id details. answer on regenerating again",Expected Output,,,
TL-1024,2026-06-16,Lavanya Mathialagan,Unique,0.1,,WhatsApp,English,1f16ab8c-eb3c-6a3e-8021-8893b8cb5f24,What are the effective management strategies for controlling Blossom Midge in Black Gram in Andhra Pradesh?,Plant protection,"Jun 18, 2026, 7:25 AM","19/6/2026, 7:51:11 am",#VALUE!,SLA Breached,Successfully Identified as Duplicate,Well Framed,English,English,Correct,NIL,Correctly Tagged as Duplicate,Successfully Identified as Duplicate/Dynamic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Provided & Relevant,Yes,Not Received,Successfully Identified as Duplicate,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate,Duplicate,Successfully Identified as Duplicate,Yes,Pass,No Defect,,NIL,".2 hours disclaimer is seen. Reviewer system shows ""chatbot processing error"" was not able to view question id details. answer on regenerating again",Expected Output,,,
TL-1025,2026-06-16,Lavanya Mathialagan,Unique,0.1,,Web App,English,1f16ab91-73a0-60b8-8005-0233eadea435,"What are the common insect pests that attack the flowering stage of Black Gram, and how can they be managed in Andhra Pradesh?",Insect–Pest Management,"Jun 18, 2026, 7:27 AM","18/6/2026, 7:27:41 am",#VALUE!,Within SLA,Yes,Well Framed,English,English,Correct,NIL,Correctly Tagged as Duplicate,Successfully Identified as Duplicate/Dynamic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Partially Correct,Yes,Yes,Provided & Relevant,NA,NA,NA,NA,Yes,Yes,Clear,Clear,NIL,NA,NA,NA,Saved,Saved,Successfully Identified as Duplicate,No,Pass,Low,,NIL,The question i asked focus on pest damage at flowering stage but the referance answer system took focus only on leaf eating caterpillar,,,,
TL-1027,2026-06-16,Lavanya Mathialagan,Unique,0.1,,Web App,English,1f1695c3-eb28-6c6e-8005-2320e5a47f01,"What are the key characteristics, advantages, and cultivation requirements of the GBG-45 variety of Black Gram in Andhra Pradesh?",Seed and Variety Selection,13:50:00,"17/6/2026, 7:42:01 pm",#VALUE!,SLA Breached,Yes,Well Framed,English,English,Correct,NIL,NA,Yes,Prerna Bharti,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,Provided & Relevant,Yes,Not Received,NA,NA,Yes,Yes,Clear,Clear,NIL,NA,NA,NA,Saved,Saved,Successfully Identified as Duplicate,Yes,Pass,No Defect,,NIL,.2 hours disclaimer is seen. Answer after 29 hours time limit,Expected Output,,,
